Geneid	smallsample1.fastq_tophat/accepted_hits.bam	smallsample2.fastq_tophat/accepted_hits.bam
Nenf	0	0
Tmem206	0	1
Ppp2r5a	0	0
Dtl	3	2
Ints7	2	4
Lpgat1	0	4
Nek2	4	4
1700034H15Rik	0	0
Slc30a1	1	1
Rd3	0	0
Traf5	0	0
Mir3473c	0	0
Rcor3	0	0
Gm10516	0	0
Kcnh1	1	0
Hhat	0	0
1700065J18Rik	0	0
Sertad4	0	0
Syt14	0	0
Diexf	1	3
Irf6	0	0
A130010J15Rik	0	0
Traf3ip3	0	0
Hsd11b1	0	0
G0s2	0	0
Lamb3	0	0
Camk1g	0	0
Mir205	0	0
4930503O07Rik	0	0
Plxna2	1	1
Cd34	0	0
Gm16897	0	0
A330023F24Rik	0	0
Mir29b-2	0	0
Mir29c	0	0
